Title,Company,Location,Link
Front End Engineer - Apollo Platform,Palantir Technologies,"New York, NY",https://www.linkedin.com/jobs/view/front-end-engineer-apollo-platform-at-palantir-technologies-4279727272?position=7&pageNum=32&refId=bHkzfN7LX%2Bc%2BhTXrYSsWIA%3D%3D&trackingId=eX6gaFeoxza%2Fp5vnIchsLA%3D%3D
Software Engineer (Backend),Traba,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-backend-at-traba-4205984267?position=8&pageNum=32&refId=bHkzfN7LX%2Bc%2BhTXrYSsWIA%3D%3D&trackingId=x3WNlSZzuXuB%2BZRss26KdA%3D%3D
Software Engineer,Thurn Partners,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-at-thurn-partners-4349423507?position=9&pageNum=32&refId=bHkzfN7LX%2Bc%2BhTXrYSsWIA%3D%3D&trackingId=vTHygzTN54X8NkDlyh%2BXTw%3D%3D
"Software Engineer, iOS",Meta,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-ios-at-meta-4254367799?position=10&pageNum=32&refId=bHkzfN7LX%2Bc%2BhTXrYSsWIA%3D%3D&trackingId=93oBN3kq0czJai9GoZEYxg%3D%3D
"Software Engineer - Smart Contract, Bridge",Stripe,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-smart-contract-bridge-at-stripe-4346757047?position=1&pageNum=35&refId=8zjVmjhURfK1cnjCOoqByg%3D%3D&trackingId=nAMY5mNxObUPZx5GQHyjYg%3D%3D
Software Engineer | High-Frequency Trading,Evolve Group,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-high-frequency-trading-at-evolve-group-4353765183?position=2&pageNum=35&refId=8zjVmjhURfK1cnjCOoqByg%3D%3D&trackingId=thK7Zq5nMTQ6bThrdfx3jw%3D%3D
Software Engineer,DataAnnotation,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-at-dataannotation-4309690775?position=3&pageNum=35&refId=8zjVmjhURfK1cnjCOoqByg%3D%3D&trackingId=vOT1ibfb6tQnAWwWYxikdQ%3D%3D
Software Engineer,Catena Clearing,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-catena-clearing-4321400768?position=4&pageNum=35&refId=8zjVmjhURfK1cnjCOoqByg%3D%3D&trackingId=X6eKc91vfxI16gTBNmesEQ%3D%3D
"Software Engineer, Product",Beam,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-product-at-beam-4299365873?position=5&pageNum=35&refId=8zjVmjhURfK1cnjCOoqByg%3D%3D&trackingId=QLcUXcROGzs%2FLe9Ydtg0NA%3D%3D
Software Engineer,Speakeasy,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-speakeasy-4329476930?position=6&pageNum=35&refId=8zjVmjhURfK1cnjCOoqByg%3D%3D&trackingId=GCwXYwIBbLgv3qvMwOLbrA%3D%3D
"Software Engineer, Agent",Sierra Business Solution,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-agent-at-sierra-business-solution-4250728076?position=7&pageNum=35&refId=8zjVmjhURfK1cnjCOoqByg%3D%3D&trackingId=%2BggfDH4uI7NqPkp3eHiOcQ%3D%3D
Web Developer,DataAnnotation,"New York, United States",https://www.linkedin.com/jobs/view/web-developer-at-dataannotation-4304450199?position=8&pageNum=35&refId=8zjVmjhURfK1cnjCOoqByg%3D%3D&trackingId=zoWOWFqVBjLzKeeqV7P9IA%3D%3D
Software Engineer,Arch,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-arch-4337949071?position=9&pageNum=35&refId=8zjVmjhURfK1cnjCOoqByg%3D%3D&trackingId=X%2Bp2XNjXh37MDrsFABUOCg%3D%3D
Software Engineer - Integrations,Mark43,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-integrations-at-mark43-4351777141?position=10&pageNum=35&refId=8zjVmjhURfK1cnjCOoqByg%3D%3D&trackingId=BQwsRhQDXA8KJZNqBAhq1Q%3D%3D
